Metric	N	N_missing	Mean	Median	SD	Min	Max	Range	CV_percent
AUC	10	0	0.9241	0.9232	0.0379	0.8632	0.9735	0.1103	4.101
accuracy	10	0	0.8602	0.8689	0.0539	0.7742	0.9516	0.1774	6.266
kappa	10	0	0.7031	0.719	0.1173	0.5118	0.8988	0.387	16.683
MCC	10	0	0.7078	0.7236	0.1157	0.5234	0.8993	0.3759	16.346
F1_score	10	0	0.8145	0.8221	0.0774	0.6818	0.9388	0.257	9.503
sensitivity	10	0	0.7837	0.7708	0.1093	0.6	0.92	0.32	13.947
specificity	10	0	0.9108	0.9054	0.0442	0.8378	0.973	0.1352	4.853
precision	10	0	0.8542	0.8516	0.0661	0.7727	0.9583	0.1856	7.738
PPV	10	0	0.8542	0.8516	0.0661	0.7727	0.9583	0.1856	7.738
NPV	10	0	0.8676	0.8627	0.0617	0.7674	0.9474	0.18	7.112
